step,node_ids,num_nodes
1,"[0, 74, 84, 20, 23, 29, 97, 98, 99, 53]",10
2,"[0, 96, 97, 98, 99, 70, 77, 84, 91]",9
3,"[0, 74, 19, 29, 33, 97, 99, 98, 37, 38]",10
4,"[0, 97, 98, 99, 37, 74]",6
5,"[0, 70, 74, 77, 16, 23, 91, 29, 97, 98, 99, 53, 57]",13
6,"[0, 70, 74, 84, 20, 23, 29, 96, 97, 98, 99, 57]",12
7,"[0, 74, 19, 29, 33, 97, 99, 98, 37, 38, 44]",11
8,"[0, 33, 97, 98, 99, 38, 7, 91, 29]",9
9,"[0, 70, 8, 77, 16, 83, 20, 26, 91, 97, 98, 99]",12
10,"[0, 97, 98, 99, 70, 74, 77, 16, 91]",9
11,"[0, 97, 98, 99, 91]",5
12,"[0, 97, 98, 99, 70, 74, 77, 16, 91]",9
13,"[0, 70, 74, 77, 16, 83, 20, 91, 97, 98, 99]",11
14,"[0, 64, 77, 84, 20, 91, 96, 97, 98, 99]",10
15,"[0, 64, 74, 13, 18, 29, 97, 98, 99, 42]",10
16,"[0, 97, 98, 99, 37, 74, 91]",7
17,"[0, 70, 74, 23, 29, 97, 98, 99, 53, 57]",10
18,"[0, 97, 98, 99, 74, 42, 13, 18, 29]",9
19,"[0, 97, 98, 99, 77, 84, 91]",7
20,"[0, 97, 98, 99, 77, 84, 91]",7
21,"[0, 70, 74, 77, 84, 23, 91, 29, 96, 97, 98, 99, 57]",13
22,"[0, 33, 97, 98, 99, 38, 7, 91, 29]",9
23,"[0, 74, 77, 19, 29, 33, 97, 99, 98, 37, 38]",11
24,"[0, 97, 98, 99, 91]",5
25,"[0, 70, 74, 84, 20, 23, 29, 96, 97, 98, 99, 53]",12
26,"[0, 74, 77, 19, 29, 33, 97, 99, 98, 37, 38]",11
27,"[0, 97, 98, 99, 42, 74, 13, 18, 29]",9
28,"[0, 70, 74, 84, 20, 23, 29, 96, 97, 98, 99, 53]",12
29,"[0, 74, 19, 29, 33, 97, 99, 98, 37, 38, 44]",11
30,"[0, 70, 74, 77, 16, 83, 91, 97, 98, 99]",10
31,"[0, 97, 98, 3, 99, 37, 74, 23]",8
32,"[0, 70, 74, 84, 20, 23, 29, 96, 97, 98, 99, 53]",12
33,"[0, 74, 19, 29, 33, 97, 99, 98, 37, 38, 44]",11
34,"[0, 64, 70, 77, 13, 18, 84, 32, 97, 98, 99, 42]",12
35,"[0, 32, 64, 97, 99, 98, 42, 13, 18]",9
36,"[0, 70, 74, 77, 16, 83, 20, 91, 97, 98, 99]",11
37,"[0, 70, 76, 77, 16, 83, 20, 26, 91, 97, 98, 99]",12
38,"[0, 70, 12, 77, 16, 83, 20, 91, 29, 97, 98, 99, 58]",13
39,"[0, 74, 77, 19, 29, 33, 97, 99, 98, 37, 38]",11
40,"[0, 70, 74, 77, 16, 20, 91, 97, 98, 99]",10
41,"[0, 32, 64, 97, 99, 98, 42, 13, 18]",9
42,"[0, 97, 98, 99, 70, 77, 84, 91]",8
43,"[0, 97, 98, 99, 74, 42, 13, 18, 29]",9
44,"[0, 7, 77, 91, 29, 33, 97, 98, 99, 38, 41]",11
45,"[0, 70, 12, 77, 16, 83, 20, 91, 29, 97, 98, 99, 58]",13
46,"[0, 74, 77, 19, 29, 33, 97, 99, 98, 37, 38]",11
47,"[0, 97, 98, 99, 38, 91, 29]",7
48,"[0, 74, 19, 29, 33, 97, 99, 98, 37, 38]",10
49,"[0, 6, 74, 77, 20, 23, 91, 29, 97, 98, 99, 53]",12
50,"[0, 70, 77, 16, 83, 20, 91, 97, 98, 99]",10
51,"[0, 74, 77, 19, 29, 33, 97, 99, 98, 37, 38]",11
52,"[0, 96, 97, 98, 99, 77, 84, 91]",8
53,"[0, 74, 19, 29, 33, 97, 99, 98, 37, 38]",10
54,"[0, 64, 70, 74, 23, 29, 97, 98, 99, 57]",10
55,"[0, 97, 98, 99, 6, 77, 20, 84, 91]",9
56,"[0, 97, 98, 99, 38, 91, 29]",7
57,"[0, 97, 98, 99, 70, 74, 53, 23, 29]",9
58,"[0, 74, 19, 29, 33, 97, 99, 98, 37, 38]",10
59,"[0, 97, 32, 64, 99, 98, 70]",7
60,"[0, 32, 64, 97, 99, 98, 42, 13, 18]",9
61,"[0, 97, 98, 99, 70, 16, 20]",7
62,"[0, 97, 98, 99, 70, 77, 84, 91]",8
63,"[0, 74, 19, 29, 33, 97, 99, 98, 37, 38, 44]",11
64,"[0, 97, 2, 98, 99, 70, 16, 84]",8
65,"[0, 97, 98, 99, 6, 77, 20, 84, 91]",9
66,"[0, 97, 64, 96, 98, 99, 84]",7
67,"[0, 97, 98, 99, 38, 29]",6
68,"[0, 74, 11, 19, 29, 33, 97, 99, 98, 37, 38]",11
69,"[0, 74, 84, 23, 29, 96, 97, 98, 99, 57]",10
70,"[0, 74, 77, 19, 29, 33, 97, 99, 98, 37, 38]",11
71,"[0, 74, 11, 77, 87, 29, 93, 32, 97, 98, 99, 37, 38]",13
72,"[0, 74, 13, 18, 23, 29, 97, 98, 99, 42, 57]",11
73,"[0, 97, 98, 99, 70, 77, 16, 83, 91]",9
74,"[0, 74, 19, 87, 29, 33, 97, 99, 98, 37, 38, 43, 44]",13
75,"[0, 97, 32, 99, 98, 70, 16, 84, 20]",9
76,"[0, 74, 19, 29, 33, 97, 99, 98, 37, 38, 44]",11
77,"[0, 74, 19, 29, 33, 97, 99, 98, 37, 38, 43, 44]",12
78,"[0, 69, 70, 77, 16, 20, 84, 91, 97, 98, 99]",11
79,"[0, 70, 74, 16, 84, 20, 23, 29, 97, 98, 99, 57]",12
80,"[0, 64, 70, 74, 23, 29, 97, 98, 99, 53]",10
81,"[0, 96, 97, 98, 99, 70, 77, 84, 91]",9
82,"[0, 14, 91, 32, 97, 98, 99, 37, 43, 44]",10
83,"[0, 97, 98, 99, 38, 43, 44, 19, 29]",9
84,"[0, 77, 19, 29, 32, 97, 98, 99, 37, 38]",10
85,"[0, 64, 13, 18, 26, 32, 97, 98, 99, 42]",10
86,"[0, 97, 64, 98, 99, 77, 84, 91]",8
87,"[0, 97, 98, 99, 74, 84, 23, 57, 29]",9
88,"[0, 96, 97, 98, 99, 70, 77, 84, 91]",9
89,"[0, 64, 13, 18, 84, 20, 32, 97, 98, 99, 41, 42]",12
90,"[0, 70, 74, 77, 16, 83, 20, 91, 97, 98, 99]",11
91,"[0, 97, 64, 99, 98, 42, 13, 18]",8
92,"[0, 97, 96, 98, 99, 70, 77, 84, 91]",9
93,"[0, 74, 19, 29, 30, 33, 97, 99, 98, 37, 38, 43, 44]",13
94,"[0, 32, 97, 99, 98, 42, 13, 18]",8
95,"[0, 64, 74, 13, 18, 23, 29, 97, 98, 99, 42, 57]",12
96,"[0, 70, 74, 77, 16, 20, 91, 97, 98, 99]",10
97,"[0, 32, 97, 98, 99, 37, 73, 13, 87]",9
98,"[0, 70, 74, 84, 23, 29, 97, 98, 99, 57]",10
99,"[0, 70, 77, 16, 19, 20, 83, 91, 97, 98, 99, 46]",12
100,"[0, 70, 74, 77, 16, 20, 91, 97, 98, 99]",10
101,"[0, 64, 97, 98, 99, 77, 84, 91]",8
102,"[0, 70, 74, 77, 16, 83, 84, 20, 23, 29, 97, 98, 99, 57]",14
103,"[0, 32, 64, 97, 99, 98, 42, 13, 18]",9
104,"[0, 3, 23, 90, 29, 32, 97, 98, 99, 37]",10
105,"[0, 70, 74, 77, 16, 83, 20, 91, 97, 98, 99]",11
106,"[0, 64, 97, 98, 99, 74, 23, 57, 29]",9
107,"[0, 64, 32, 97, 99, 98, 42, 13, 18]",9
108,"[0, 74, 19, 87, 29, 33, 97, 99, 98, 37, 38, 44]",12
109,"[0, 64, 70, 74, 77, 13, 18, 84, 23, 29, 97, 98, 99, 42, 57]",15
110,"[0, 64, 70, 77, 13, 18, 84, 20, 32, 97, 98, 99, 42]",13
111,"[0, 19, 87, 29, 30, 33, 97, 98, 99, 37, 38, 43, 44]",13
112,"[0, 96, 97, 98, 99, 70, 77, 84, 91]",9
113,"[0, 32, 64, 97, 99, 98, 42, 13, 18]",9
114,"[0, 19, 87, 29, 30, 97, 98, 99, 37, 38, 43, 44]",12
115,"[0, 87, 29, 97, 98, 99, 37, 38, 43, 44]",10
116,"[0, 74, 77, 13, 18, 83, 29, 97, 98, 99, 42]",11
117,"[0, 97, 98, 99, 38, 29]",6
118,"[0, 74, 14, 19, 87, 91, 29, 33, 97, 99, 98, 37, 38]",13
119,"[0, 64, 70, 77, 13, 18, 84, 32, 97, 98, 99, 42]",12
120,"[0, 97, 96, 98, 99, 70, 77, 84, 91]",9
121,"[0, 70, 74, 77, 23, 91, 29, 97, 98, 99, 53, 57]",12
122,"[0, 19, 87, 29, 30, 97, 98, 99, 37, 38, 43, 44]",12
123,"[0, 70, 77, 16, 83, 20, 26, 91, 97, 98, 99]",11
124,"[0, 97, 2, 98, 99, 70, 77, 84, 91]",9
125,"[0, 74, 19, 87, 29, 33, 97, 99, 98, 37, 38, 43, 44]",13
126,"[0, 64, 3, 73, 29, 97, 98, 99, 46, 49, 50, 55]",12
127,"[0, 70, 74, 84, 20, 23, 29, 97, 98, 99, 57]",11
128,"[0, 97, 32, 64, 99, 98, 42, 13, 18]",9
129,"[0, 97, 2, 98, 99, 70, 77, 84, 91]",9
130,"[0, 32, 97, 98, 99, 37, 38, 19, 29]",9
131,"[0, 70, 77, 19, 83, 97, 98, 99, 46, 55]",10
132,"[0, 32, 97, 98, 99, 37, 38, 19, 29]",9
133,"[0, 64, 2, 74, 84, 20, 23, 29, 32, 97, 98, 99, 57]",13
134,"[0, 97, 98, 99, 70, 77, 84, 91]",8
