step,node_ids,num_nodes
135,"[0, 70, 77, 16, 83, 19, 97, 98, 99, 46, 55]",11
136,"[0, 64, 70, 74, 23, 29, 97, 98, 99, 57]",10
137,"[0, 32, 97, 99, 98, 6, 77, 20, 91]",9
138,"[0, 74, 19, 87, 29, 33, 97, 99, 98, 37, 38, 44]",12
139,"[0, 70, 74, 23, 29, 32, 97, 98, 99, 57]",10
140,"[0, 70, 74, 77, 23, 91, 29, 97, 98, 99, 57]",11
141,"[0, 64, 70, 77, 13, 18, 84, 32, 97, 96, 99, 98, 42]",13
142,"[0, 70, 74, 84, 20, 23, 29, 97, 98, 99, 57]",11
143,"[0, 97, 2, 98, 99, 70, 77, 84, 91]",9
144,"[0, 97, 2, 64, 98, 99, 84]",7
145,"[0, 74, 77, 19, 29, 33, 97, 99, 98, 37, 38]",11
146,"[0, 70, 74, 23, 29, 32, 97, 98, 99, 57]",10
147,"[0, 70, 74, 77, 16, 83, 20, 91, 97, 98, 99]",11
148,"[0, 97, 98, 99, 77, 83]",6
149,"[0, 97, 98, 99, 70, 77, 91]",7
150,"[0, 74, 19, 87, 29, 33, 97, 99, 98, 37, 38, 43, 44]",13
151,"[0, 70, 74, 84, 20, 23, 29, 97, 98, 99, 57]",11
152,"[0, 19, 87, 29, 30, 97, 98, 99, 37, 38, 43, 44]",12
153,"[0, 64, 13, 18, 84, 20, 32, 97, 98, 99, 42]",11
154,"[0, 96, 97, 98, 99, 70, 77, 84, 91]",9
155,"[0, 32, 98, 97, 99, 37, 53]",7
156,"[0, 97, 98, 99, 70, 16, 20]",7
157,"[0, 97, 32, 64, 99, 98, 70]",7
158,"[0, 70, 74, 77, 83, 23, 91, 97, 98, 99, 53]",11
159,"[0, 97, 98, 99, 70, 77, 84, 91]",8
160,"[0, 97, 32, 64, 99, 98, 70]",7
161,"[0, 70, 74, 77, 23, 91, 29, 97, 98, 99, 53, 57]",12
162,"[0, 97, 98, 99, 37, 38, 87, 29]",8
163,"[0, 64, 70, 77, 13, 18, 84, 32, 97, 98, 99, 42]",12
164,"[0, 97, 98, 99, 77, 84, 91]",7
165,"[0, 73, 87, 29, 32, 97, 98, 99, 37, 49]",10
166,"[0, 97, 2, 98, 99, 77, 84, 91]",8
167,"[0, 87, 29, 97, 98, 99, 37, 38, 43, 44]",10
168,"[0, 64, 2, 74, 84, 20, 23, 29, 32, 97, 98, 99, 57]",13
169,"[0, 64, 13, 18, 84, 32, 97, 96, 99, 98, 42]",11
170,"[0, 97, 98, 99, 38, 43, 44, 19, 29]",9
171,"[0, 97, 98, 32, 99, 37, 43, 44, 29]",9
172,"[0, 19, 87, 29, 33, 97, 98, 99, 37, 38, 43, 44]",12
173,"[0, 32, 97, 98, 99, 37, 38, 19, 29]",9
174,"[0, 97, 98, 99, 70, 77, 83, 20]",8
175,"[0, 97, 98, 99, 38, 43, 44, 19, 29]",9
176,"[0, 97, 98, 99, 70, 77, 84, 91]",8
177,"[0, 97, 2, 98, 99, 70, 84]",7
178,"[0, 97, 2, 98, 99, 70, 77, 84, 91]",9
179,"[0, 97, 98, 99, 70, 74, 84, 20, 23]",9
180,"[0, 70, 74, 77, 23, 91, 29, 97, 98, 99, 57]",11
181,"[0, 97, 96, 98, 99, 70, 84]",7
182,"[0, 64, 13, 18, 26, 32, 97, 98, 99, 42]",10
183,"[0, 77, 87, 29, 93, 32, 97, 98, 99, 37, 38]",11
184,"[0, 74, 77, 19, 29, 97, 98, 99, 37, 38, 43, 44]",12
185,"[0, 74, 19, 87, 29, 33, 97, 99, 98, 37, 38, 43, 44]",13
186,"[0, 97, 98, 99, 77, 83]",6
187,"[0, 70, 74, 23, 29, 32, 97, 98, 99, 57]",10
188,"[0, 97, 98, 99, 77, 83, 20]",7
189,"[0, 64, 70, 74, 23, 29, 97, 98, 99, 57]",10
190,"[0, 97, 98, 99, 70, 74, 23, 57, 29]",9
191,"[0, 74, 77, 83, 84, 20, 23, 29, 97, 98, 99, 57]",12
192,"[0, 97, 98, 99, 37, 38, 74, 87, 29]",9
193,"[0, 77, 19, 29, 32, 97, 98, 99, 37, 38, 43, 44]",12
194,"[0, 97, 98, 99, 20]",5
195,"[0, 97, 2, 64, 98, 99, 84]",7
196,"[0, 70, 74, 84, 20, 23, 29, 97, 98, 99, 57]",11
197,"[0, 74, 11, 19, 29, 33, 97, 99, 98, 37, 38, 44]",12
198,"[0, 64, 2, 74, 23, 29, 97, 98, 99, 57]",10
199,"[0, 70, 74, 77, 83, 23, 97, 98, 99, 57]",10
200,"[0, 32, 97, 98, 99, 37, 38, 87, 29]",9
201,"[0, 64, 70, 77, 13, 18, 84, 32, 97, 98, 99, 42]",12
202,"[0, 97, 2, 98, 99, 70, 77, 84, 91]",9
203,"[0, 97, 2, 98, 99, 70, 77, 84, 91]",9
204,"[0, 70, 74, 77, 16, 83, 84, 20, 23, 97, 98, 99]",12
205,"[0, 70, 74, 77, 23, 91, 29, 97, 98, 99, 57]",11
206,"[0, 64, 70, 74, 23, 29, 97, 98, 99, 57]",10
207,"[0, 74, 14, 19, 87, 91, 29, 33, 97, 99, 98, 37, 38]",13
208,"[0, 70, 77, 16, 83, 20, 84, 91, 97, 98, 99, 49]",12
209,"[0, 70, 74, 77, 23, 91, 29, 97, 98, 99, 57]",11
210,"[0, 64, 74, 84, 20, 23, 29, 32, 97, 98, 99, 57]",12
211,"[0, 97, 98, 99, 70, 84]",6
212,"[0, 3, 23, 90, 29, 32, 97, 98, 99, 37]",10
213,"[0, 70, 77, 19, 83, 97, 98, 99, 46, 55]",10
214,"[0, 74, 77, 19, 29, 33, 97, 99, 98, 37, 38, 43, 44]",13
215,"[0, 74, 13, 18, 23, 29, 97, 98, 99, 42, 57]",11
216,"[0, 70, 74, 23, 29, 32, 97, 98, 99, 57]",10
217,"[0, 19, 87, 29, 30, 97, 98, 99, 37, 38, 43, 44]",12
218,"[0, 70, 74, 77, 83, 84, 20, 23, 97, 98, 99, 57]",12
219,"[0, 97, 64, 98, 99, 84, 20]",7
220,"[0, 97, 98, 99, 37, 38, 87, 29]",8
221,"[0, 74, 77, 83, 84, 20, 23, 29, 97, 98, 99, 57]",12
222,"[0, 70, 74, 77, 23, 91, 29, 97, 98, 99, 53, 57]",12
223,"[0, 74, 14, 19, 87, 91, 29, 33, 97, 99, 98, 37, 38]",13
224,"[0, 64, 2, 97, 98, 99, 84, 20]",8
225,"[0, 97, 32, 99, 98, 70, 84, 20]",8
226,"[0, 97, 2, 98, 99, 70, 84]",7
227,"[0, 64, 70, 77, 13, 18, 84, 32, 97, 98, 99, 42]",12
228,"[0, 70, 74, 77, 23, 91, 29, 97, 98, 99, 57]",11
229,"[0, 69, 70, 77, 16, 20, 84, 91, 97, 98, 99]",11
230,"[0, 19, 87, 29, 30, 33, 97, 98, 99, 37, 38, 43, 44]",13
231,"[0, 74, 19, 29, 33, 97, 99, 98, 37, 38, 43, 44]",12
232,"[0, 32, 97, 98, 99, 37, 13, 87, 55]",9
233,"[0, 70, 74, 77, 23, 91, 97, 98, 99, 57]",10
234,"[0, 70, 10, 77, 83, 20, 91, 97, 34, 98, 99]",11
235,"[0, 70, 74, 77, 16, 83, 20, 91, 97, 98, 99]",11
236,"[0, 70, 74, 84, 20, 23, 29, 97, 98, 99, 57]",11
237,"[0, 19, 29, 30, 97, 98, 99, 38, 43, 44]",10
238,"[0, 97, 98, 99, 70, 16, 84]",7
239,"[0, 97, 98, 99, 70, 16, 20, 84]",8
240,"[0, 32, 97, 98, 99, 37, 38, 19, 29]",9
241,"[0, 64, 70, 74, 23, 29, 97, 98, 99, 57]",10
242,"[0, 70, 74, 23, 26, 29, 32, 97, 98, 99, 57]",11
243,"[0, 70, 74, 16, 84, 20, 23, 29, 97, 98, 99, 57]",12
244,"[0, 97, 98, 99, 70, 77, 84, 91]",8
245,"[0, 97, 98, 3, 99, 37, 74, 23, 90]",9
246,"[0, 32, 97, 98, 99, 37, 38, 29]",8
247,"[0, 32, 97, 99, 98, 70, 77, 91]",8
248,"[0, 32, 64, 97, 99, 98, 42, 13, 18]",9
249,"[0, 97, 2, 64, 98, 99, 84]",7
250,"[0, 74, 19, 87, 29, 33, 97, 99, 98, 37, 38, 44]",12
251,"[0, 64, 2, 74, 23, 29, 97, 98, 99, 57]",10
252,"[0, 64, 32, 97, 99, 98, 42, 13, 18]",9
253,"[0, 74, 19, 87, 29, 33, 97, 99, 98, 37, 38, 44]",12
254,"[0, 74, 77, 19, 29, 33, 97, 99, 98, 37, 38]",11
255,"[0, 74, 19, 29, 33, 97, 99, 98, 37, 38, 43, 44]",12
256,"[0, 70, 74, 16, 84, 20, 23, 29, 97, 98, 99, 57]",12
257,"[0, 64, 70, 74, 23, 29, 97, 98, 99, 57]",10
258,"[0, 70, 74, 76, 77, 16, 20, 91, 97, 98, 99]",11
259,"[0, 97, 98, 99, 70, 74, 23, 57, 29]",9
260,"[0, 64, 3, 73, 90, 29, 97, 98, 99, 46, 49, 55]",12
261,"[0, 33, 32, 98, 97, 37, 99, 53, 87]",9
262,"[0, 64, 13, 18, 19, 84, 20, 32, 97, 98, 99, 42]",12
263,"[0, 97, 98, 99, 38, 43, 44, 19, 29]",9
264,"[0, 70, 12, 77, 16, 83, 20, 91, 97, 98, 99, 58]",12
265,"[0, 96, 97, 98, 99, 70, 77, 84, 91]",9
266,"[0, 74, 19, 87, 29, 33, 97, 99, 98, 37, 38, 44]",12
267,"[0, 74, 19, 29, 33, 97, 99, 98, 37, 38, 43, 44]",12
268,"[0, 19, 29, 30, 97, 98, 99, 38, 43, 44]",10
269,"[0, 97, 98, 99, 38, 43, 44, 19, 29]",9
270,"[0, 97, 32, 64, 99, 98, 70]",7
271,"[0, 70, 77, 16, 19, 20, 83, 91, 97, 98, 99, 46]",12
272,"[0, 70, 74, 77, 16, 23, 91, 29, 97, 98, 99, 57]",12
273,"[0, 97, 98, 99, 70, 77, 16, 91]",8
274,"[0, 97, 98, 32, 99, 37, 29]",7
275,"[0, 32, 64, 97, 99, 98, 42, 13, 18]",9
276,"[0, 2, 70, 77, 16, 84, 91, 97, 98, 99]",10
277,"[0, 74, 77, 19, 29, 33, 97, 99, 98, 37, 38, 43, 44]",13
278,"[0, 64, 74, 13, 18, 23, 29, 32, 97, 96, 99, 98, 42, 57]",14
279,"[0, 70, 77, 16, 19, 83, 97, 98, 99, 46, 55]",11
280,"[0, 97, 98, 99, 70, 74, 23, 57, 29]",9
281,"[0, 70, 74, 77, 16, 83, 84, 20, 23, 97, 98, 99, 57]",13
282,"[0, 70, 74, 77, 16, 23, 91, 29, 97, 98, 99, 57]",12
283,"[0, 97, 98, 99, 37, 38, 11, 29]",8
284,"[0, 97, 98, 99, 70, 77, 84, 91]",8
285,"[0, 70, 74, 16, 84, 20, 23, 29, 97, 98, 99, 57]",12
286,"[0, 97, 98, 99, 38, 19, 29]",7
287,"[0, 65, 70, 77, 16, 83, 20, 93, 97, 34, 99, 98]",12
288,"[0, 97, 98, 99, 37, 74, 43, 44, 94]",9
289,"[0, 64, 74, 13, 18, 29, 32, 97, 98, 99, 42]",11
290,"[0, 74, 19, 87, 29, 33, 97, 99, 98, 37, 38, 44]",12
291,"[0, 64, 70, 74, 23, 29, 97, 98, 99, 57]",10
292,"[0, 74, 19, 29, 97, 98, 99, 37, 38, 43, 44]",11
293,"[0, 74, 19, 29, 33, 97, 99, 98, 37, 38, 43, 44]",12
294,"[0, 70, 74, 77, 16, 83, 84, 20, 23, 97, 98, 99, 57]",13
295,"[0, 70, 74, 76, 77, 16, 20, 91, 97, 98, 99]",11
296,"[0, 32, 64, 97, 99, 98, 42, 13, 18]",9
297,"[0, 97, 98, 99, 70, 77, 16, 84, 91]",9
298,"[0, 64, 70, 16, 84, 20, 93, 32, 97, 98, 99]",11
299,"[0, 74, 19, 29, 97, 98, 99, 37, 38, 43, 44]",11
300,"[0, 97, 98, 99, 70, 16, 84]",7
301,"[0, 97, 98, 3, 99, 37, 74, 23, 90]",9
302,"[0, 70, 74, 16, 84, 20, 23, 29, 97, 98, 99, 57]",12
303,"[0, 97, 98, 99, 70, 77, 16, 84, 91]",9
304,"[0, 19, 87, 29, 30, 97, 98, 99, 37, 38, 43, 44]",12
305,"[0, 32, 97, 98, 99, 70, 16, 84, 20]",9
306,"[0, 70, 74, 77, 16, 23, 91, 29, 97, 98, 99, 57]",12
307,"[0, 74, 77, 19, 29, 33, 97, 99, 98, 37, 38]",11
308,"[0, 64, 2, 70, 74, 16, 23, 29, 97, 98, 99, 57]",12
309,"[0, 97, 98, 99, 77, 84, 91]",7
310,"[0, 97, 98, 99, 70, 77, 16, 83, 20]",9
311,"[0, 74, 19, 29, 33, 97, 99, 98, 37, 38, 43, 44]",12
312,"[0, 97, 98, 99, 70, 77, 16, 91]",8
313,"[0, 97, 98, 99, 70, 77, 16, 84, 91]",9
314,"[0, 97, 98, 99, 70, 16, 84]",7
315,"[0, 70, 74, 77, 16, 23, 91, 97, 98, 99, 57]",11
316,"[0, 97, 98, 99, 38, 43, 44, 19, 29]",9
317,"[0, 64, 70, 74, 16, 23, 29, 97, 98, 99, 57]",11
318,"[0, 97, 98, 99, 37, 74, 43, 44]",8
319,"[0, 70, 77, 16, 19, 83, 97, 98, 99, 46, 55]",11
320,"[0, 32, 97, 98, 99, 37, 38, 19, 29]",9
321,"[0, 70, 74, 16, 23, 29, 93, 97, 98, 99, 35, 46, 57]",13
322,"[0, 97, 98, 99, 70, 16, 20, 84]",8
323,"[0, 64, 70, 13, 16, 18, 32, 96, 97, 99, 98, 42]",12
324,"[0, 19, 29, 33, 97, 98, 99, 38, 43, 44]",10
325,"[0, 74, 77, 19, 29, 97, 98, 99, 37, 38, 43, 44]",12
326,"[0, 33, 32, 98, 97, 37, 99, 53]",8
327,"[0, 70, 74, 77, 16, 23, 91, 97, 98, 99, 57]",11
328,"[0, 64, 74, 13, 18, 29, 32, 97, 98, 99, 42]",11
329,"[0, 74, 19, 29, 33, 97, 99, 98, 37, 38, 43, 44]",12
330,"[0, 74, 77, 19, 29, 97, 98, 99, 37, 38, 43, 44]",12
331,"[0, 11, 77, 87, 29, 93, 32, 97, 98, 99, 37, 38]",12
332,"[0, 74, 19, 29, 30, 33, 97, 99, 98, 37, 38, 43, 44]",13
333,"[0, 70, 74, 16, 23, 29, 32, 97, 98, 99, 57]",11
334,"[0, 32, 97, 98, 99, 70, 16]",7
335,"[0, 70, 74, 77, 16, 83, 20, 91, 97, 98, 99]",11
336,"[0, 64, 13, 18, 84, 32, 97, 98, 99, 42]",10
337,"[0, 74, 19, 29, 97, 98, 99, 37, 38, 43, 44]",11
338,"[0, 70, 74, 16, 23, 29, 97, 98, 99, 57]",10
339,"[0, 64, 2, 70, 74, 16, 23, 29, 97, 98, 99, 57]",12
340,"[0, 64, 73, 77, 19, 29, 97, 98, 99, 49, 55]",11
341,"[0, 97, 98, 99, 70, 16, 84]",7
342,"[0, 32, 64, 97, 99, 98, 42, 13, 18]",9
343,"[0, 32, 97, 98, 99, 37, 38, 29]",8
344,"[0, 32, 2, 64, 97, 98, 70, 99, 16]",9
345,"[0, 64, 98, 97, 99, 84, 20]",7
346,"[0, 70, 74, 77, 16, 23, 91, 97, 98, 99, 57]",11
347,"[0, 70, 77, 16, 84, 20, 91, 97, 98, 99]",10
348,"[0, 70, 74, 77, 16, 23, 91, 29, 97, 98, 99, 57]",12
349,"[0, 64, 70, 74, 13, 16, 18, 23, 29, 96, 97, 98, 99, 42, 57]",15
350,"[0, 97, 98, 99, 70, 16, 84, 55]",8
351,"[0, 70, 74, 16, 23, 29, 97, 98, 99, 57]",10
352,"[0, 70, 74, 10, 76, 77, 16, 20, 91, 97, 98, 99]",12
353,"[0, 70, 77, 16, 20, 84, 91, 97, 98, 99]",10
354,"[0, 70, 74, 16, 84, 20, 23, 97, 98, 99, 57]",11
355,"[0, 64, 70, 74, 16, 23, 29, 97, 98, 99, 57]",11
356,"[0, 32, 64, 97, 98, 99, 19, 84, 20]",9
357,"[0, 64, 70, 13, 16, 18, 32, 97, 98, 99, 42]",11
358,"[0, 97, 32, 98, 99, 37, 29]",7
359,"[0, 64, 2, 97, 98, 99, 84, 20]",8
360,"[0, 70, 74, 16, 23, 26, 29, 32, 97, 98, 99, 57]",12
361,"[0, 70, 74, 77, 16, 23, 91, 97, 98, 99, 57]",11
362,"[0, 97, 98, 99, 70, 16, 20, 84]",8
363,"[0, 70, 74, 16, 23, 29, 97, 98, 99, 57]",10
364,"[0, 74, 19, 29, 33, 97, 99, 98, 37, 38, 43, 44]",12
365,"[0, 70, 74, 77, 16, 83, 84, 20, 23, 97, 98, 99]",12
366,"[0, 97, 98, 99, 70, 74, 16, 23]",8
367,"[0, 70, 77, 16, 19, 20, 83, 91, 97, 98, 99, 46]",12
368,"[0, 32, 97, 98, 99, 37, 38, 29]",8
369,"[0, 70, 74, 16, 23, 32, 97, 98, 99, 57]",10
370,"[0, 70, 77, 16, 83, 20, 84, 97, 98, 99, 55]",11
371,"[0, 74, 19, 29, 33, 97, 99, 98, 37, 38, 44]",11
372,"[0, 74, 77, 19, 29, 33, 97, 99, 98, 37, 38, 43, 44]",13
373,"[0, 19, 87, 29, 33, 97, 98, 99, 37, 38, 43, 44]",12
374,"[0, 74, 77, 19, 29, 33, 97, 99, 98, 37, 38, 43, 44]",13
375,"[0, 74, 19, 29, 33, 97, 99, 98, 37, 38, 43, 44]",12
376,"[0, 70, 74, 16, 23, 29, 32, 97, 98, 99, 57]",11
377,"[0, 19, 29, 33, 97, 98, 99, 38, 43, 44]",10
378,"[0, 74, 77, 19, 29, 33, 97, 99, 98, 37, 38, 43, 44]",13
379,"[0, 64, 70, 74, 16, 23, 29, 97, 98, 99, 57]",11
380,"[0, 70, 74, 10, 76, 77, 16, 83, 20, 91, 97, 98, 99]",13
381,"[0, 77, 19, 29, 97, 98, 99, 38, 43, 44]",10
382,"[0, 70, 77, 16, 19, 83, 97, 98, 99, 46, 55]",11
383,"[0, 77, 19, 29, 32, 97, 98, 99, 37, 38]",10
384,"[0, 70, 77, 13, 18, 32, 97, 98, 99, 42]",10
