iteration,loss
0,36.12321090698242
1,29.95513916015625
2,40.28127670288086
3,34.246192932128906
4,36.78007888793945
5,35.002525329589844
6,11.885351181030273
7,30.56414031982422
8,41.91576385498047
9,10.604416847229004
10,54.8077392578125
11,26.726957321166992
12,21.739578247070312
13,29.598474502563477
14,46.427127838134766
15,36.54404067993164
16,32.30178451538086
17,30.56179428100586
18,22.342864990234375
19,45.130165100097656
20,38.21364212036133
21,20.004989624023438
22,5.723026275634766
23,54.346492767333984
24,44.33198928833008
25,33.857948303222656
26,18.422191619873047
27,12.817666053771973
28,19.447959899902344
29,31.15103530883789
30,31.67774200439453
31,15.066102981567383
32,17.61307716369629
33,42.24935531616211
34,27.223159790039062
35,9.41962718963623
36,44.11057662963867
37,46.63097381591797
38,35.519718170166016
39,17.477062225341797
40,12.905000686645508
41,30.193115234375
42,33.5262451171875
43,22.44107437133789
44,28.038589477539062
45,36.35956954956055
46,36.57415008544922
47,58.636962890625
48,34.6409912109375
49,33.332862854003906
50,22.434295654296875
51,14.429107666015625
52,31.136432647705078
53,32.735008239746094
54,24.90977668762207
55,27.3728084564209
56,38.79237365722656
57,24.128826141357422
58,29.48375701904297
59,23.652429580688477
60,53.44921112060547
61,34.48478698730469
62,31.62908935546875
63,44.81230926513672
64,31.558073043823242
65,31.813867568969727
66,32.789146423339844
67,24.33450698852539
68,35.91513442993164
69,55.8585090637207
70,49.9697151184082
71,22.77178955078125
72,27.082380294799805
73,25.268884658813477
74,9.903340339660645
75,28.331518173217773
76,30.919464111328125
77,14.275655746459961
78,20.07331657409668
79,44.90248107910156
80,28.51310920715332
81,40.077537536621094
82,38.03984069824219
83,13.076652526855469
84,34.62411117553711
85,23.06463623046875
86,18.611040115356445
87,12.068942070007324
88,38.22582244873047
89,33.21807098388672
90,18.440509796142578
91,12.929210662841797
92,20.513193130493164
93,33.69425964355469
94,35.66216278076172
95,39.02511978149414
96,21.66347312927246
97,30.979825973510742
98,25.290904998779297
99,21.36511993408203
100,27.198585510253906
101,26.122451782226562
102,10.773701667785645
103,30.966596603393555
104,16.828697204589844
105,21.480161666870117
106,30.10121726989746
107,26.50299072265625
108,32.802696228027344
109,27.78129005432129
110,16.14938735961914
111,33.07609558105469
112,10.87199878692627
113,24.909242630004883
114,28.076696395874023
115,23.29822540283203
116,24.041671752929688
117,27.61269760131836
118,50.616661071777344
119,22.983516693115234
120,10.856639862060547
121,15.272405624389648
122,13.809457778930664
123,12.622461318969727
124,36.85960388183594
125,27.239015579223633
126,30.41609001159668
127,40.88861846923828
128,27.383583068847656
129,30.545055389404297
130,20.04610824584961
131,34.27083969116211
132,40.055328369140625
133,58.16322708129883
134,13.442487716674805
135,34.201171875
136,26.146642684936523
137,0.593362033367157
138,31.337604522705078
139,42.485679626464844
140,23.16933822631836
141,37.48531723022461
142,28.902389526367188
143,19.335636138916016
144,18.682567596435547
145,46.83509826660156
146,26.21685028076172
147,31.68535614013672
148,37.9171257019043
149,34.80360794067383
