Loading data from /Volumes/T9/IndraAstra/dhiraj/neuro_graph/data/ts/raw ...
Tickers loaded: 63
Tickers after cross-split filter: 56
  [2015-01-01:2021-12-31] 56 tickers, 230 common dates
  [2022-01-01:2023-12-31] 56 tickers, 493 common dates
Train samples: 169, Val samples: 432
Parameters: 51,050
Model config: N=56, D=16, K_wiring=4, K_iter=3
  Edge count: 224 (56×4)
 epoch | train_loss |  val_mae | val_dir_acc | val_sharpe
    93 |   0.001214 |  0.02874 |      0.5006 |  -148.0340
    94 |   0.001200 |  0.02871 |      0.5003 |  -148.1743
    95 |   0.001177 |  0.02867 |      0.5002 |  -148.8274
    96 |   0.001202 |  0.02866 |      0.5004 |  -149.4347
    97 |   0.001178 |  0.02864 |      0.5002 |  -150.0630
    98 |   0.001189 |  0.02864 |      0.5002 |  -150.1343
    99 |   0.001190 |  0.02863 |      0.5002 |  -150.2017
   100 |   0.001187 |  0.02863 |      0.5001 |  -150.2142

Learned alpha=0.5050, beta=0.2983
Results saved to /Volumes/T9/IndraAstra/dhiraj/neuro_graph/results/ts/ts_step030_sgnnet_ts.json
Best val sharpe: -36.9903 | Final dir_acc: 0.4969 | MAE: 0.182826 | params: 51,050
