cnn_step016 EfficientVGG GA search
pop=12 gen=6 top_k=5
eval: 5ep × 10% data
Device: mps | Slot: mini_mps
Anchors: D_small_s=70.95%(57.5M), Ref=73.17%(183M), F_wide=74.42%(560M)
  gen04  fit=0.4178  acc=0.3926  MACs=98.5M  C=(32,64,384)  k=3  exp=2  side=0  crelu=1
  gen04  fit=0.4291  acc=0.4033  MACs=98.5M  C=(32,64,384)  k=3  exp=2  side=0  crelu=1
  gen04  fit=0.4464  acc=0.4392  MACs=155.8M  C=(32,128,384)  k=7  exp=2  side=1  crelu=1
  gen04  fit=0.4473  acc=0.4145  MACs=85.6M  C=(32,64,384)  k=3  exp=1  side=0  crelu=1
  gen04  fit=0.3938  acc=0.3842  MACs=143.2M  C=(96,64,192)  k=7  exp=1  side=0  crelu=0
  gen04  fit=0.4037  acc=0.3959  MACs=151.0M  C=(32,192,384)  k=3  exp=1  side=0  crelu=1
  gen04  fit=0.4684  acc=0.4403  MACs=98.5M  C=(32,64,384)  k=3  exp=2  side=0  crelu=1
  gen04  fit=0.4670  acc=0.4469  MACs=118.0M  C=(32,96,384)  k=3  exp=2  side=0  crelu=1
  gen04  fit=0.4572  acc=0.4377  MACs=118.5M  C=(32,96,384)  k=3  exp=2  side=1  crelu=1
  gen04  fit=0.4306  acc=0.4031  MACs=94.7M  C=(32,64,384)  k=7  exp=1  side=0  crelu=1
  gen04  fit=0.3704  acc=0.3490  MACs=101.1M  C=(32,128,128)  k=7  exp=2  side=0  crelu=1
  gen04  fit=0.3705  acc=0.3646  MACs=155.8M  C=(32,128,384)  k=7  exp=2  side=1  crelu=1
Gen 04 BEST  fit=0.4684  acc=0.4403  MACs=98.5M  C=(32,64,384)  k=3  crelu=1
  gen05  fit=0.4286  acc=0.4028  MACs=98.5M  C=(32,64,384)  k=3  exp=2  side=0  crelu=1
  gen05  fit=0.4427  acc=0.4237  MACs=118.0M  C=(32,96,384)  k=3  exp=2  side=0  crelu=1
  gen05  fit=0.4492  acc=0.4301  MACs=118.5M  C=(32,96,384)  k=3  exp=2  side=1  crelu=1
  gen05  fit=0.4761  acc=0.4413  MACs=85.6M  C=(32,64,384)  k=3  exp=1  side=0  crelu=1
  gen05  fit=0.4210  acc=0.4143  MACs=155.8M  C=(32,128,384)  k=7  exp=2  side=1  crelu=1
  gen05  fit=0.3998  acc=0.4087  MACs=228.4M  C=(96,64,384)  k=3  exp=2  side=0  crelu=1
  gen05  fit=0.4661  acc=0.4382  MACs=98.9M  C=(32,64,384)  k=3  exp=2  side=1  crelu=1
  gen05  fit=0.4190  acc=0.4122  MACs=155.8M  C=(32,128,384)  k=7  exp=2  side=1  crelu=1
  gen05  fit=0.4221  acc=0.4290  MACs=215.7M  C=(32,192,384)  k=3  exp=2  side=1  crelu=1
  gen05  fit=0.3808  acc=0.3717  MACs=144.0M  C=(32,128,384)  k=3  exp=2  side=0  crelu=1
  gen05  fit=0.4251  acc=0.3857  MACs=69.3M  C=(32,128,192)  k=3  exp=1  side=0  crelu=1
  gen05  fit=0.4592  acc=0.4696  MACs=229.0M  C=(32,192,384)  k=7  exp=2  side=1  crelu=1
Gen 05 BEST  fit=0.4761  acc=0.4413  MACs=85.6M  C=(32,64,384)  k=3  crelu=1

============================================================
EfficientVGG GA TOP 5 CONFIGS
============================================================
  [1] fit=0.4761  acc=0.4413  MACs=85.6M  params=471,274
       C=(32,64,384)  k=3  exp=1  side=0  crelu=1
  [2] fit=0.4684  acc=0.4403  MACs=98.5M  params=481,514
       C=(32,64,384)  k=3  exp=2  side=0  crelu=1
  [3] fit=0.4670  acc=0.4469  MACs=118.0M  params=516,010
       C=(32,96,384)  k=3  exp=2  side=0  crelu=1
  [4] fit=0.4664  acc=0.4191  MACs=62.9M  params=304,618
       C=(32,64,256)  k=3  exp=1  side=0  crelu=0
  [5] fit=0.4661  acc=0.4382  MACs=98.9M  params=489,130
       C=(32,64,384)  k=3  exp=2  side=1  crelu=1

-> /Volumes/T9/IndraAstra/dhiraj/neuro_graph/results/cnn_step016_ga_evgg_results__mini_mps.json
