iteration,loss
0,1.4802852869033813
1,1.7707324028015137
2,1.1363214254379272
3,1.609844446182251
4,1.7638671398162842
5,1.1779239177703857
6,1.7321205139160156
7,1.4272363185882568
8,1.2453923225402832
9,1.0606846809387207
10,1.2331738471984863
11,1.5019251108169556
12,1.2563278675079346
13,1.2989249229431152
14,1.4969099760055542
15,0.8018827438354492
16,1.99869966506958
17,1.6667587757110596
18,1.2481218576431274
19,1.302150011062622
20,1.1471978425979614
21,1.2130537033081055
22,0.9212474822998047
23,1.6131691932678223
24,0.910598635673523
25,1.7297484874725342
26,1.476503610610962
27,1.3790816068649292
28,1.9055488109588623
29,1.2056776285171509
30,1.6546242237091064
31,1.3087067604064941
32,0.7641027569770813
33,1.619589924812317
34,1.5310248136520386
35,1.637374997138977
36,1.1630518436431885
37,1.3774259090423584
38,1.6347194910049438
39,1.7341814041137695
40,1.2157065868377686
41,1.6979091167449951
42,1.382529616355896
43,1.2557358741760254
44,1.6375072002410889
45,1.2830321788787842
46,2.160672187805176
47,1.3607263565063477
48,1.1395974159240723
49,1.6046046018600464
50,1.0364558696746826
51,1.0103178024291992
52,1.6275627613067627
53,1.2871425151824951
54,1.8811678886413574
55,1.1305946111679077
56,1.4176726341247559
57,2.230836868286133
58,1.3760530948638916
59,1.6697711944580078
60,1.653906226158142
61,1.8358207941055298
62,1.3287391662597656
63,1.48185396194458
64,1.7584326267242432
65,2.0548288822174072
66,1.4068397283554077
67,1.0966672897338867
68,1.1344425678253174
69,1.1259338855743408
70,1.3601264953613281
71,1.4352664947509766
72,1.7197935581207275
73,1.8645817041397095
74,0.7493915557861328
