worker_id,loss,class,skipped
3,10.207682609558105,2,False
0,9.814455032348633,2,False
1,9.015904426574707,6,False
2,8.552603721618652,7,False
2,9.711584091186523,7,False
3,9.242799758911133,1,False
1,12.238004684448242,3,False
0,8.546953201293945,0,False
2,7.266434669494629,1,False
0,9.400527000427246,3,False
1,8.365367889404297,4,False
3,9.534595489501953,2,False
1,8.206831932067871,7,False
3,10.481695175170898,3,False
0,8.265809059143066,3,False
2,9.153937339782715,6,False
3,10.449607849121094,8,False
1,11.265954971313477,8,False
2,8.668323516845703,4,False
0,9.503946304321289,5,False
3,13.37794303894043,0,False
0,11.89660930633545,3,False
1,10.366135597229004,4,False
2,8.313396453857422,9,False
0,11.668778419494629,9,False
1,8.228739738464355,9,False
2,7.691850662231445,2,False
3,8.666061401367188,4,False
3,11.981590270996094,4,False
0,9.316607475280762,0,False
2,12.300739288330078,1,False
1,10.527442932128906,0,False
0,9.030841827392578,6,False
1,9.016082763671875,5,False
3,9.904430389404297,4,False
2,11.461581230163574,1,False
3,11.807989120483398,9,False
0,8.779014587402344,2,False
2,8.56418228149414,1,False
1,11.497451782226562,7,False
3,10.736688613891602,7,False
1,9.070016860961914,1,False
2,10.7593994140625,0,False
0,10.214056968688965,9,False
1,11.667078018188477,7,False
0,10.074758529663086,0,False
3,13.117822647094727,6,False
2,10.404905319213867,0,False
1,9.865604400634766,0,False
3,9.779155731201172,1,False
0,11.353918075561523,2,False
2,6.642649173736572,1,False
1,11.388919830322266,3,False
2,8.990768432617188,0,False
3,9.122217178344727,2,False
0,10.487594604492188,5,False
3,10.045679092407227,5,False
0,9.929362297058105,6,False
2,8.984572410583496,0,False
1,11.068037986755371,0,False
3,11.898125648498535,8,False
2,10.382905006408691,2,False
0,9.28918743133545,8,False
1,8.794418334960938,7,False
0,8.593961715698242,1,False
2,12.251489639282227,8,False
1,8.168807029724121,8,False
3,7.966022968292236,4,False
2,10.35959529876709,0,False
3,8.430081367492676,9,False
1,10.198640823364258,6,False
0,13.193927764892578,0,False
0,9.389577865600586,1,False
2,6.671587944030762,5,False
3,5.496761322021484,8,False
1,13.14297103881836,2,False
2,10.919650077819824,8,False
1,12.857906341552734,3,False
0,12.158681869506836,4,False
3,10.038671493530273,7,False
0,10.75723934173584,7,False
3,8.876228332519531,9,False
1,9.845234870910645,5,False
2,11.887681007385254,3,False
2,8.621740341186523,8,False
3,8.342676162719727,9,False
0,10.775409698486328,3,False
1,10.148515701293945,4,False
3,11.401557922363281,3,False
1,9.343722343444824,2,False
0,10.93217945098877,6,False
2,10.573783874511719,6,False
1,7.356632232666016,7,False
0,8.58360767364502,6,False
2,11.431798934936523,3,False
3,8.949639320373535,7,False
2,11.413045883178711,8,False
1,9.127411842346191,8,False
3,13.61152458190918,2,False
0,7.487495422363281,4,False
0,10.315183639526367,2,False
3,11.186564445495605,4,False
2,9.916444778442383,0,False
1,10.633464813232422,6,False
3,8.352935791015625,6,False
0,10.199864387512207,8,False
1,7.695392608642578,7,False
2,12.023188591003418,0,False
0,8.521455764770508,2,False
3,12.654915809631348,5,False
1,11.508502960205078,3,False
2,9.245198249816895,5,False
2,10.940401077270508,0,False
3,12.662418365478516,2,False
0,9.206260681152344,5,False
1,14.059874534606934,5,False
1,10.795605659484863,9,False
2,10.62674617767334,3,False
0,11.00959587097168,2,False
3,11.095580101013184,8,False
2,12.810514450073242,2,False
1,12.198162078857422,5,False
3,7.270743370056152,6,False
0,12.077417373657227,5,False
1,9.033975601196289,9,False
3,10.6845064163208,8,False
0,13.2214937210083,2,False
2,7.87098503112793,4,False
1,9.795395851135254,1,False
3,10.183635711669922,6,False
0,9.337113380432129,1,False
2,9.592142105102539,3,False
2,9.947380065917969,6,False
1,12.066680908203125,4,False
0,11.731328964233398,4,False
3,12.398515701293945,0,False
3,9.13019847869873,3,False
0,13.680171966552734,3,False
1,9.881584167480469,1,False
2,9.48100471496582,2,False
2,9.697933197021484,4,False
3,14.40118408203125,7,False
1,11.200475692749023,4,False
0,8.061080932617188,9,False
2,8.558746337890625,3,False
0,11.64956283569336,6,False
1,9.389691352844238,2,False
3,10.15402889251709,3,False
1,13.15267276763916,7,False
2,6.796075820922852,1,False
0,8.280313491821289,4,False
3,8.46210765838623,4,False
3,12.677976608276367,3,False
0,10.480916023254395,0,False
1,11.708353996276855,0,False
2,9.452433586120605,0,False
0,7.2843451499938965,4,False
1,11.218119621276855,3,False
3,6.821464538574219,5,False
2,11.559417724609375,8,False
2,9.124425888061523,6,False
3,7.604099750518799,7,False
1,9.401853561401367,7,False
0,11.244682312011719,3,False
3,9.587048530578613,6,False
2,7.567873001098633,9,False
1,11.366872787475586,4,False
0,11.662357330322266,6,False
2,9.94413948059082,9,False
0,11.441116333007812,8,False
1,14.733131408691406,2,False
3,11.866354942321777,3,False
3,11.363678932189941,1,False
0,8.973394393920898,7,False
1,9.98316764831543,6,False
2,13.027153015136719,0,False
0,9.533891677856445,7,False
2,9.715456008911133,0,False
1,9.338065147399902,2,False
3,13.810750961303711,0,False
3,6.350969314575195,9,False
0,8.742807388305664,6,False
2,11.405223846435547,2,False
1,7.998956680297852,9,False
1,7.888492584228516,8,False
3,9.293828964233398,9,False
2,9.158072471618652,6,False
0,14.063672065734863,2,False
0,12.724344253540039,2,False
3,10.977617263793945,5,False
2,12.314895629882812,0,False
1,9.440258026123047,7,False
0,11.434138298034668,9,False
1,7.852516174316406,7,False
2,10.324424743652344,1,False
3,9.653289794921875,2,False
0,7.453614234924316,1,False
3,9.050189971923828,0,False
1,10.757953643798828,0,False
2,10.301342010498047,6,False
3,9.527441024780273,9,False
2,8.919820785522461,0,False
0,10.900015830993652,0,False
1,10.757661819458008,8,False
0,8.281843185424805,1,False
3,9.53911018371582,9,False
1,12.730213165283203,6,False
2,11.408594131469727,3,False
3,7.433509349822998,9,False
1,17.159378051757812,3,False
0,11.957956314086914,8,False
2,9.134246826171875,9,False
2,8.647619247436523,4,False
3,9.157846450805664,7,False
0,14.105624198913574,2,False
1,11.456633567810059,8,False
2,10.512720108032227,2,False
0,8.372891426086426,0,False
1,9.22864055633545,8,False
3,11.278276443481445,9,False
3,10.493295669555664,7,False
1,11.737531661987305,7,False
2,10.330657005310059,8,False
0,9.104057312011719,6,False
3,11.733236312866211,2,False
1,8.21968936920166,9,False
2,11.706600189208984,0,False
0,8.532283782958984,4,False
0,8.797415733337402,1,False
3,9.5576171875,8,False
2,10.724990844726562,1,False
1,6.619198799133301,4,False
0,7.981978416442871,1,False
1,11.398499488830566,3,False
3,9.184417724609375,8,False
2,10.819429397583008,0,False
3,9.818561553955078,5,False
2,10.606346130371094,1,False
0,10.991989135742188,6,False
1,10.369298934936523,9,False
2,9.61501407623291,8,False
0,10.423097610473633,3,False
3,10.316059112548828,5,False
1,14.507122993469238,3,False
1,8.843481063842773,2,False
0,11.796819686889648,0,False
2,11.378915786743164,4,False
3,10.838323593139648,6,False
0,10.73611831665039,2,False
3,13.008434295654297,6,False
2,9.094420433044434,6,False
1,9.336735725402832,5,False
0,6.646657466888428,4,False
2,11.904953002929688,6,False
3,13.941435813903809,8,False
1,8.74327278137207,4,False
3,9.544200897216797,3,False
1,10.638833999633789,4,False
0,11.170964241027832,5,False
2,11.5199556350708,3,False
3,11.324082374572754,9,False
2,10.763287544250488,1,False
0,7.891167163848877,4,False
1,13.309318542480469,2,False
1,10.33846664428711,7,False
0,10.989655494689941,5,False
3,10.946130752563477,9,False
2,11.121186256408691,5,False
2,7.929483890533447,1,False
0,10.515433311462402,0,False
