iteration,loss
0,1.2431232929229736
1,1.2313547134399414
2,1.194678783416748
3,1.2552986145019531
4,1.2342462539672852
5,1.5395230054855347
6,1.2805143594741821
7,1.4030678272247314
8,0.6408599615097046
9,1.2132532596588135
10,1.2378774881362915
11,1.1599963903427124
12,1.0344409942626953
13,1.639176607131958
14,1.03312087059021
15,0.8853636980056763
16,1.3451175689697266
17,0.9143121242523193
18,1.2499407529830933
19,1.9107850790023804
20,1.6734120845794678
21,1.3984286785125732
22,1.5401290655136108
23,1.0645262002944946
24,1.517937421798706
25,1.099524974822998
26,0.5941656827926636
27,1.5303899049758911
28,1.296326756477356
29,0.7200140953063965
30,1.0076122283935547
31,1.00215744972229
32,1.408384084701538
33,1.6986151933670044
34,1.4475383758544922
35,0.7219139337539673
36,1.0013283491134644
37,0.8451513648033142
38,1.4030871391296387
39,1.616295576095581
40,1.4083576202392578
41,1.1082611083984375
42,0.8605448603630066
43,0.9927390217781067
44,1.038952112197876
45,1.5696805715560913
46,0.989496648311615
47,1.49573814868927
48,0.9635130167007446
49,1.5027952194213867
50,1.3817468881607056
51,0.9755231738090515
52,0.5528849363327026
53,0.8432705998420715
54,0.9658636450767517
55,1.395111322402954
56,0.8772101402282715
57,1.065260648727417
58,0.8688148260116577
59,1.3124206066131592
60,0.7513574957847595
61,1.1736302375793457
62,1.2205479145050049
63,1.472062110900879
64,1.5792655944824219
65,0.9299542903900146
66,0.8223775029182434
67,1.4486180543899536
68,1.099431037902832
69,0.96866774559021
70,0.8777215480804443
71,1.3821965456008911
72,0.921924352645874
