iteration,loss
0,18.454605102539062
1,28.97412872314453
2,10.554394721984863
3,26.205638885498047
4,28.929285049438477
5,24.898447036743164
6,31.729488372802734
7,32.16351318359375
8,32.81175994873047
9,11.351975440979004
10,6.284182548522949
11,16.857925415039062
12,42.35531997680664
13,20.47356605529785
14,15.74371337890625
15,9.173691749572754
16,34.86064529418945
17,29.265335083007812
18,21.268157958984375
19,14.003235816955566
20,16.662260055541992
21,15.127768516540527
22,44.448123931884766
23,32.601985931396484
24,17.15545654296875
25,27.326261520385742
26,26.516864776611328
27,31.385028839111328
28,18.543725967407227
29,22.18207359313965
30,23.076852798461914
31,22.924150466918945
32,30.552303314208984
33,32.72406005859375
34,37.82678985595703
35,19.55763053894043
36,25.243892669677734
37,38.115013122558594
38,9.939702987670898
39,27.39141845703125
40,33.65164566040039
41,21.865041732788086
42,9.761978149414062
43,40.93732452392578
44,22.723569869995117
45,22.398757934570312
46,10.918540954589844
47,9.321759223937988
48,34.084320068359375
49,26.578746795654297
50,34.31572341918945
51,28.786537170410156
52,9.622732162475586
53,21.463489532470703
54,34.059078216552734
55,32.383670806884766
56,26.093639373779297
57,18.98360824584961
58,12.212411880493164
59,30.5737247467041
60,36.827232360839844
61,15.264993667602539
62,43.12009048461914
63,17.67747688293457
64,35.734615325927734
65,15.339936256408691
66,34.3763313293457
67,32.331905364990234
68,25.786380767822266
69,38.169715881347656
70,22.660614013671875
71,12.825399398803711
72,5.683995246887207
73,34.903564453125
74,11.955780982971191
75,14.970922470092773
76,39.68098831176758
77,24.008556365966797
78,34.09787368774414
79,20.853912353515625
80,39.83978271484375
81,28.93349838256836
82,25.35475730895996
83,23.965787887573242
84,24.39743995666504
85,32.221168518066406
86,35.556148529052734
87,25.879966735839844
88,21.2901611328125
89,19.182987213134766
90,24.798961639404297
91,11.730927467346191
92,40.21089553833008
93,5.438430309295654
94,31.771129608154297
95,28.405668258666992
96,18.812366485595703
97,29.00210189819336
98,58.08477783203125
99,35.16902542114258
100,24.877216339111328
101,29.346675872802734
102,28.250558853149414
103,27.492414474487305
104,13.059493064880371
105,31.966344833374023
106,11.336549758911133
107,24.711383819580078
108,11.461094856262207
109,31.226633071899414
110,13.989025115966797
111,19.67510414123535
112,17.406293869018555
113,16.391647338867188
114,19.692441940307617
115,27.003137588500977
116,18.00193977355957
117,8.714741706848145
118,7.371523857116699
119,14.886486053466797
120,2.4308595657348633
121,14.36906623840332
122,9.74825668334961
123,38.40335464477539
124,21.231184005737305
125,22.91738510131836
126,16.471982955932617
127,23.323007583618164
128,27.253767013549805
129,33.910682678222656
130,6.793030261993408
131,30.147232055664062
132,22.760961532592773
133,33.783103942871094
134,58.33357620239258
135,26.260297775268555
136,12.49415397644043
137,18.438589096069336
138,17.748069763183594
139,20.870765686035156
140,13.9661865234375
141,12.014486312866211
142,25.820009231567383
143,32.27898406982422
144,18.370567321777344
145,34.09979248046875
146,15.590157508850098
147,17.80841827392578
148,21.742252349853516
149,15.00457763671875
150,9.988125801086426
151,19.84067726135254
152,20.045970916748047
153,11.24603271484375
154,26.651931762695312
155,36.643550872802734
156,25.647705078125
157,27.72715187072754
158,22.435747146606445
159,19.325693130493164
160,16.58172607421875
161,41.19624710083008
162,17.459270477294922
163,15.962389945983887
164,34.97582244873047
165,22.16131019592285
166,8.94399642944336
167,34.74156188964844
168,23.631614685058594
169,34.32128143310547
170,11.538775444030762
171,18.384963989257812
172,27.07998275756836
173,19.702180862426758
174,27.24785041809082
175,17.0198974609375
176,22.821147918701172
177,8.240411758422852
178,10.584460258483887
179,22.11968231201172
180,11.081033706665039
181,25.689441680908203
182,23.636131286621094
183,28.910202026367188
184,39.74169158935547
185,16.54213523864746
186,15.696410179138184
187,4.9979119300842285
188,10.707594871520996
189,25.42258071899414
190,18.210771560668945
191,22.092876434326172
192,14.598865509033203
193,29.186174392700195
194,21.98919677734375
195,31.234962463378906
196,25.62724494934082
197,19.423030853271484
198,10.718181610107422
199,22.514362335205078
200,27.107887268066406
201,28.313695907592773
202,19.75625228881836
203,10.307096481323242
204,21.90880012512207
205,13.937082290649414
206,6.501173973083496
207,21.596599578857422
208,15.544815063476562
209,17.644359588623047
210,30.366275787353516
211,16.121845245361328
212,18.92644500732422
213,14.227699279785156
214,23.960874557495117
215,15.780442237854004
216,20.8433895111084
217,15.114483833312988
218,23.5673828125
219,17.749820709228516
220,23.763778686523438
221,28.595788955688477
222,14.904540061950684
223,38.92631530761719
224,20.168285369873047
225,17.055940628051758
226,42.206451416015625
227,20.4302978515625
228,22.212127685546875
229,9.547261238098145
230,23.454689025878906
231,18.896574020385742
232,16.660423278808594
233,38.756126403808594
234,38.215511322021484
235,20.494136810302734
236,13.438779830932617
237,18.45644760131836
238,14.290092468261719
239,19.1039981842041
240,13.43110466003418
241,26.578998565673828
242,24.63890838623047
243,40.71131134033203
244,19.73874855041504
245,21.639514923095703
246,40.80280685424805
247,11.631913185119629
248,28.55010223388672
249,41.76485824584961
250,46.52104949951172
251,15.94164752960205
252,9.437884330749512
253,30.649442672729492
254,11.222282409667969
255,32.00940704345703
256,15.781203269958496
257,25.098236083984375
258,44.93619155883789
259,17.727968215942383
260,20.04554557800293
261,28.634445190429688
262,28.706207275390625
263,22.478252410888672
264,16.260726928710938
265,16.98497772216797
266,10.359559059143066
267,22.40279769897461
268,21.623281478881836
269,7.634509563446045
270,35.41122055053711
271,21.174665451049805
272,23.26219367980957
273,27.432762145996094
274,31.407711029052734
275,23.746597290039062
276,30.274866104125977
277,8.318550109863281
278,13.588608741760254
279,13.698270797729492
280,33.57291793823242
281,25.54006576538086
282,22.41045570373535
283,16.30195426940918
284,26.2108211517334
285,16.628093719482422
286,24.349714279174805
287,11.47039794921875
288,15.341293334960938
289,13.833000183105469
290,34.39487075805664
291,28.407737731933594
292,39.12289810180664
293,23.247257232666016
294,22.623210906982422
295,42.40267562866211
296,30.428647994995117
297,21.25563621520996
298,27.78775405883789
299,8.708969116210938
300,40.609745025634766
301,10.915121078491211
302,22.05081558227539
303,21.823633193969727
304,8.624031066894531
305,22.58362579345703
306,18.775827407836914
307,22.64299201965332
308,11.641281127929688
309,5.717258930206299
310,44.53577423095703
311,7.900704383850098
312,41.41151428222656
313,20.51170539855957
314,8.46090316772461
315,36.48556137084961
316,44.988983154296875
317,12.097421646118164
318,35.66926956176758
319,25.392274856567383
320,28.49275779724121
321,37.23666763305664
322,27.741161346435547
323,16.995349884033203
324,17.3265380859375
325,41.517662048339844
326,27.237897872924805
327,35.57605743408203
328,27.66338348388672
329,35.6619873046875
330,32.28574752807617
331,13.994661331176758
332,12.778390884399414
333,25.27751350402832
334,10.627557754516602
335,25.522594451904297
336,19.282302856445312
337,23.735454559326172
338,28.651636123657227
339,30.250473022460938
340,33.41830825805664
341,33.22806930541992
342,15.667722702026367
343,9.831380844116211
344,23.666545867919922
345,24.919679641723633
346,15.618727684020996
347,26.674659729003906
348,42.345001220703125
349,12.811073303222656
350,24.90351104736328
351,44.50069046020508
352,14.493191719055176
353,15.87879467010498
354,27.714527130126953
355,45.07835006713867
356,17.672286987304688
357,40.89075469970703
358,13.319807052612305
359,18.077646255493164
360,23.288537979125977
361,35.82830810546875
362,14.336798667907715
363,27.067684173583984
364,36.76539993286133
365,19.87982749938965
366,20.085960388183594
367,25.103946685791016
368,20.871294021606445
369,34.116939544677734
370,32.531192779541016
371,27.78363800048828
372,22.68099594116211
373,16.941455841064453
374,34.255863189697266
375,18.020172119140625
376,35.37566375732422
377,12.300199508666992
378,34.35641098022461
379,26.314029693603516
380,41.09333419799805
381,9.125336647033691
382,25.457691192626953
383,38.84511184692383
384,41.3263053894043
385,31.817272186279297
386,33.10457992553711
387,21.963363647460938
388,6.233694553375244
389,24.609426498413086
390,23.978466033935547
391,20.286088943481445
392,27.556400299072266
393,31.296478271484375
394,39.96941375732422
395,18.439619064331055
396,32.03096389770508
397,12.216802597045898
398,24.843746185302734
399,10.782669067382812
400,31.48021125793457
401,25.19051742553711
402,29.996456146240234
403,37.540077209472656
404,24.947919845581055
405,22.923194885253906
406,41.12336730957031
407,15.96116828918457
408,11.88978385925293
409,44.629451751708984
410,22.703319549560547
411,31.196483612060547
412,34.37839889526367
413,35.16223907470703
414,9.707601547241211
415,31.33548927307129
416,43.97879409790039
417,18.150596618652344
418,38.77228546142578
419,24.503263473510742
420,25.31159782409668
421,23.441455841064453
422,25.434595108032227
423,33.96064758300781
424,21.032772064208984
425,19.463218688964844
426,50.17504119873047
427,29.512399673461914
428,49.21412658691406
429,21.23332405090332
430,26.194116592407227
431,17.38641357421875
432,23.25048828125
433,31.349517822265625
434,43.3016471862793
435,25.831806182861328
436,16.266868591308594
437,15.628363609313965
438,40.07144546508789
439,18.731325149536133
440,30.887683868408203
441,24.894147872924805
442,31.838993072509766
443,31.104265213012695
444,35.606937408447266
445,28.37738800048828
446,12.713025093078613
447,24.32917022705078
448,19.808469772338867
449,33.045467376708984
