gen	idx	N	D	K_hh	K_iter	alpha_ahebb	alpha_reflect	routing_mode	polarizer_alpha	accuracy	fitness	flops_M	params	best_epoch	elapsed_s	error
1	8	2048	16	2	5	1.0	0.5	standard	0.0	0.928153	1.020968	0.983	67744	20	38.5	
1	9	2048	16	2	5	1.0	0.5	standard	1.5	0.916688	1.008357	0.983	67744	20	38.5	
1	10	2048	16	2	5	1.0	0.3	standard	0.0	0.911083	1.002191	0.983	67744	19	38.5	
1	11	4096	16	2	5	1.0	0.5	delta_proj	1.0	0.956433	1.004255	1.966	135328	20	92.8	
1	12	4096	16	2	5	1.0	0.5	standard	0.0	0.937834	0.984726	1.966	135328	19	66.6	
1	13	4096	16	2	5	1.0	0.5	delta_proj	0.0	0.946242	0.993554	1.966	135328	20	92.8	
1	14	2048	16	2	6	1.0	0.5	wpos_proj	1.5	0.939108	0.986064	1.180	67744	20	62.5	
1	15	2048	16	2	4	1.0	0.5	standard	0.0	0.903949	0.994344	0.786	67744	19	34.4	
1	16	2048	8	2	5	1.0	0.5	standard	0.5	0.898599	0.988459	0.492	34896	20	24.3	
1	17	2048	16	2	6	1.0	0.5	delta_proj	0.0	0.926879	0.973223	1.180	67744	18	58.8	
1	18	2048	16	2	8	1.0	0.3	standard	0.0	0.931465	0.978038	1.573	67744	19	51.2	
1	19	2048	16	2	8	1.0	0.5	standard	0.0	0.919236	0.965197	1.573	67744	20	51.1	
1	20	2048	16	3	5	1.0	0.5	delta_proj	1.5	0.952102	0.999707	1.475	67744	20	64.0	
1	21	2048	16	2	5	0.0	0.5	delta_proj	1.5	0.953885	1.049274	0.983	67744	19	47.8	
1	22	4096	16	2	5	1.0	0.5	standard	0.0	0.942675	0.989809	1.966	135328	20	66.8	
1	23	2048	16	2	5	1.0	0.5	standard	0.0	0.912866	1.004153	0.983	67744	18	38.5	
1	24	2048	8	2	4	1.0	0.5	standard	0.0	0.895287	0.984815	0.393	34896	19	24.2	
1	25	2048	16	2	5	1.0	0.5	wpos_proj	0.5	0.929172	1.022089	0.983	67744	19	55.1	
1	26	4096	16	2	5	1.0	0.3	delta_proj	0.0	0.940127	0.987134	1.966	135328	18	93.0	
1	27	2048	16	2	5	0.0	0.5	delta_proj	0.0	0.179363	0.197299	0.983	67744	17	47.9	
1	28	2048	12	2	5	0.0	0.5	standard	1.5	0.250955	0.276051	0.737	51320	18	65.1	
1	29	2048	16	2	5	1.0	0.5	standard	0.0	0.917707	1.009478	0.983	67744	17	38.5	
1	30	2048	16	2	5	1.0	0.3	standard	0.0	0.920764	1.012841	0.983	67744	19	38.5	
1	31	2048	16	2	5	1.0	0.5	standard	0.0	0.916433	1.008076	0.983	67744	18	38.4	
1	32	4096	16	2	8	1.0	0.5	standard	0.0	0.940892	0.940892	3.146	135328	19	90.9	
1	33	2048	16	2	5	1.0	0.3	standard	0.0	0.912611	1.003873	0.983	67744	18	38.5	
1	34	2048	16	2	6	1.0	0.5	delta_proj	0.5	0.930191	0.976701	1.180	67744	19	58.8	
